what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1352924696573
started,bundle,org.eclipse.php.core,2.2.0.v20100616-1900,"org.eclipse.php.core",1352924696574
started,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1352924696574
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20100616-1900,"org.eclipse.php.debug.daemon",1352924696575
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1352924696575
started,bundle,org.eclipse.php.server.core,2.2.0.v20100616-1900,"org.eclipse.php.server.core",1352924696576
started,bundle,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui",1352924696578
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1352924696578
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1352924696579
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1352924696580
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1352924696581
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1352924696582
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1352924696583
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1352924696584
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1352924696585
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1352924696586
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1352924696586
started,bundle,org.eclipse.ui.intro.universal,3.2.400.v20100517,"org.eclipse.ui.intro.universal",1352924696586
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1352924696587
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1352924696587
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1352924696588
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1352924696589
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1352924696589
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1352924696590
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1352924696591
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1352924696591
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1352924696592
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1352924696592
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1352924696593
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1352924696594
os,sysinfo,,,"win32",1352924696597
arch,sysinfo,,,"x86",1352924696597
ws,sysinfo,,,"win32",1352924696597
locale,sysinfo,,,"es_ES",1352924696597
processors,sysinfo,,,"4",1352924696597
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1352924696597
java.runtime.version,sysinfo,,,"1.6.0_37-b06",1352924696597
java.specification.name,sysinfo,,,"Java Platform API Specification",1352924696597
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1352924696597
java.specification.version,sysinfo,,,"1.6",1352924696597
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1352924696597
java.version,sysinfo,,,"1.6.0_37",1352924696597
java.vm.info,sysinfo,,,"mixed mode, sharing",1352924696597
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1352924696597
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1352924696597
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1352924696597
